Experiment	GeneId	Control_transcript	Case_transcript	Feature_type	Feature	What	Index	Control_start	Control_end	Case_start	Case_end	Control_MacroScore	Control_MicroScore	Control_Jaccard	Case_MacroScore	Case_MicroScore	Case_Jaccard
ALL	ENSG00000066427.21	ENST00000340660.10	ENST00000621269.4	Pfam	PF02809	Nothing	1	168	184	243	259	0.0	nan	0.0	0.0	nan	0.0
ALL	ENSG00000066427.21	ENST00000340660.10	ENST00000621269.4	Pfam	PF02809	Nothing	2	188	204	223	239	0.0	nan	0.0	0.0	nan	0.0
ALL	ENSG00000066427.21	ENST00000340660.10	ENST00000621269.4	Pfam	PF02809	Lost_in_cases	3	279	295	nan	nan	1.0	0.20987654320987653	0.20987654320987653	nan	nan	nan
ALL	ENSG00000066427.21	ENST00000340660.10	ENST00000621269.4	Pfam	PF02099	Nothing	1	8	112	8	167	0.0	nan	0.0	0.34375	1.0	0.34375
ALL	ENSG00000066427.21	ENST00000556898.5	ENST00000502250.5	Pfam	PF02809	Gained_in_cases	1	nan	nan	64	80	nan	nan	nan	1.0	1.0	1.0
ALL	ENSG00000066427.21	ENST00000556898.5	ENST00000502250.5	Pfam	PF02809	Gained_in_cases	2	nan	nan	155	171	nan	nan	nan	1.0	1.0	1.0
ALL	ENSG00000066427.21	ENST00000556898.5	ENST00000502250.5	Pfam	PF02809	Gained_in_cases	3	nan	nan	44	60	nan	nan	nan	1.0	1.0	1.0
ALL	ENSG00000066427.21	ENST00000556958.5	ENST00000621269.4	Pfam	PF02809	Gained_in_cases	1	nan	nan	243	259	nan	nan	nan	1.0	1.0	1.0
ALL	ENSG00000066427.21	ENST00000556958.5	ENST00000621269.4	Pfam	PF02809	Gained_in_cases	2	nan	nan	223	239	nan	nan	nan	1.0	1.0	1.0
ALL	ENSG00000066427.21	ENST00000556958.5	ENST00000621269.4	Pfam	PF02099	Gained_in_cases	1	nan	nan	8	167	nan	nan	nan	1.0	1.0	1.0
ALL	ENSG00000066427.21	ENST00000511362.5	ENST00000340660.10	Pfam	PF02809	Gained_in_cases	1	nan	nan	168	184	nan	nan	nan	1.0	1.0	1.0
ALL	ENSG00000066427.21	ENST00000511362.5	ENST00000340660.10	Pfam	PF02809	Gained_in_cases	2	nan	nan	188	204	nan	nan	nan	1.0	1.0	1.0
ALL	ENSG00000066427.21	ENST00000511362.5	ENST00000340660.10	Pfam	PF02809	Gained_in_cases	3	nan	nan	279	295	nan	nan	nan	1.0	1.0	1.0
ALL	ENSG00000066427.21	ENST00000511362.5	ENST00000340660.10	Pfam	PF02099	Gained_in_cases	1	nan	nan	8	112	nan	nan	nan	1.0	1.0	1.0
ALL	ENSG00000066427.21	ENST00000556644.5	ENST00000617719.4	Pfam	PF02809	Gained_in_cases	1	nan	nan	223	239	nan	nan	nan	1.0	1.0	1.0
ALL	ENSG00000066427.21	ENST00000556644.5	ENST00000617719.4	Pfam	PF02809	Gained_in_cases	2	nan	nan	243	259	nan	nan	nan	1.0	1.0	1.0
ALL	ENSG00000066427.21	ENST00000556644.5	ENST00000617719.4	Pfam	PF02099	Gained_in_cases	1	nan	nan	8	167	nan	nan	nan	1.0	1.0	1.0
ALL	ENSG00000066427.21	ENST00000557030.5	ENST00000621269.4	Pfam	PF02809	Gained_in_cases	1	nan	nan	243	259	nan	nan	nan	1.0	1.0	1.0
ALL	ENSG00000066427.21	ENST00000557030.5	ENST00000621269.4	Pfam	PF02809	Gained_in_cases	2	nan	nan	223	239	nan	nan	nan	1.0	1.0	1.0
ALL	ENSG00000066427.21	ENST00000557030.5	ENST00000621269.4	Pfam	PF02099	Gained_in_cases	1	nan	nan	8	167	nan	nan	nan	1.0	1.0	1.0
ALL	ENSG00000066427.21	ENST00000359366.9	ENST00000621269.4	Pfam	PF02809	Gained_in_cases	1	nan	nan	243	259	nan	nan	nan	1.0	1.0	1.0
ALL	ENSG00000066427.21	ENST00000359366.9	ENST00000621269.4	Pfam	PF02809	Gained_in_cases	2	nan	nan	223	239	nan	nan	nan	1.0	1.0	1.0
ALL	ENSG00000066427.21	ENST00000359366.9	ENST00000621269.4	Pfam	PF02099	Gained_in_cases	1	nan	nan	8	167	nan	nan	nan	1.0	1.0	1.0
ALL	ENSG00000066427.21	ENST00000617719.4	ENST00000340660.10	Pfam	PF02809	Nothing	1	223	239	168	184	0.0	nan	0.0	0.0	nan	0.0
ALL	ENSG00000066427.21	ENST00000617719.4	ENST00000340660.10	Pfam	PF02809	Nothing	2	243	259	188	204	0.0	nan	0.0	0.0	nan	0.0
ALL	ENSG00000066427.21	ENST00000617719.4	ENST00000340660.10	Pfam	PF02809	Gained_in_cases	3	nan	nan	279	295	nan	nan	nan	1.0	0.24285714285714285	0.24285714285714285
